State,Postcode,No_Individuals,Total_Taxable_$,Total_Donation_$
VIC,3951,628,26941752,38657
VIC,3953,4684,221027577,1289956
VIC,3954,255,12730446,27835
VIC,3956,1463,64521761,139773
VIC,3957,194,7493132,29702
VIC,3958,173,7052598,9300
VIC,3959,736,31384513,88821
VIC,3960,1465,64029672,257851
VIC,3962,512,21346939,29983
VIC,3964,81,3220353,5008
VIC,3965,94,3675883,3081
VIC,3966,296,11901303,10742
VIC,3967,77,3255755,5844
VIC,3971,2123,89422802,174039
VIC,3975,9228,489786724,1165932
VIC,3976,13386,602650334,1709053
VIC,3977,58372,3008407302,5663192
VIC,3978,12690,693634844,1268206
VIC,3979,223,9662599,21160
VIC,3980,2015,110990086,238612
VIC,3981,2834,146616923,306076
VIC,3984,3060,140971127,217374
VIC,3987,894,48077488,67913
VIC,3988,653,29434477,39200
VIC,3990,111,4987032,5945
VIC,3991,233,8681481,8345
VIC,3992,514,23766246,49792
VIC,3995,5406,228644019,552357
VIC,3996,3286,164139183,880238
VIC,8007,51,4771423,41042
