ABN,Charity_Legal_Name,State,Postcode,Charity_Size,Operates_in_VIC,PBI,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
24141870126,National Youth Choir Of Australia Ltd,VIC,3165,Small,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y
24150630201,DYC AUSTRALIA LTD.,VIC,3211,,Y,,,Y,,Y,,,,,,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,Y,,,Y,Y,,Y,Y
24156312426,Back2Bikes Ltd,VIC,3206,Small,Y,,,,Y,Y,,,,Y,,,,,,Y,Y,,,,,Y,Y,Y,,Y,Y,,,Y,,,Y,,,Y,,,,Y
24158439135,HerSpace Limited,VIC,3051,Small,Y,Y,,,,,,,,,,,Y,,,Y,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,Y
24161862378,Exchange Church Shepparton Incorporated,VIC,3614,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,Y
24179314568,Our Holy Redeemer School Surrey Hills,VIC,3127,Large,Y,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
24180640047,Association of Ukrainians St Albans Inc,VIC,3021,,Y,,,Y,,,,,,,,,Y,,,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,Y
24182696815,Uniting Church In Australia Grovedale Parish,VIC,3216,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24183529501,Kew Baptist Student Hostel Inc,VIC,3101,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
24188328939,Baptist Church Brighton,VIC,3186,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,Y,,,,,,,,,Y,
24192704036,NOBLE MIND SOCIETY OF AUSTRALIA,VIC,3804,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,,Y
24196766170,The Trustee For Nicholas Pierce Scholarship Fund,VIC,3143,Small,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y
24207330346,St Johns Anglican Church,VIC,3089,Medium,Y,,,,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,,,Y,,,,,Y,,,,,
24215634040,Resource Network For Linguistic Diversity,VIC,3053,Medium,Y,Y,,,Y,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,Y
24218682610,The Trustee For Rhodes Trust In Australia,VIC,3000,Large,Y,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
24226277579,The Streatham & District Historical Society,VIC,3351,Small,Y,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,Y,
24227166701,The Trustee For Lions International District 201 V2 Charitable Fund,VIC,3260,Small,Y,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,Y
24231290227,Rotary Berwick & District Benevolent Society Inc,VIC,3806,Small,Y,Y,,,,,,,,,,,,,,Y,,,,,Y,Y,,Y,,Y,,Y,,,Y,,,,,Y,,,,
24233157789,Racing 2 Rehome Incorporated,VIC,3950,Small,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
24242419152,Full Gospel Assembly of Australia Inc.,VIC,3020,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
24248489259,The Federation Of Associations Of Spanish Speaking Senior Citizens In Victoria Inc,VIC,3000,Small,Y,,,Y,,,,,,,,,,,,,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,
24248614702,St Mark's Catholic Church Fawkner,VIC,3060,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24262398617,PORTLAND RSL SUB-BRANCH PATRIOTIC FUND,VIC,3000,Small,Y,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,
24267956373,A & H Graham Foundation,VIC,3280,Small,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,
24281456670,Christmas Hills Landcare Group,VIC,3775,Small,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,,Y,,,,,
24315097741,Christ Church Anglican Church Hawthorn,VIC,3122,Small,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
24317721493,South Port Community Housing Group Inc,VIC,3205,Large,Y,Y,,,,,,,,,,,,,Y,Y,Y,,,,Y,Y,Y,Y,Y,,Y,Y,,,Y,,Y,,Y,Y,Y,Y,Y,Y
24319661422,Romanian Christian Pentecostal Church Philadelphia,VIC,3806,Small,Y,,,,,,,,,,,Y,,,,,,,,,Y,Y,,,,,,Y,,,,,,,,,,,,
24336629285,Emmanuel College,VIC,3025,Large,Y,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,Y
24337360235,Leadership Great South Coast Inc,VIC,3284,Small,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,,Y,,,,,
24371101249,Empower Australia Overseas Aid Fund Inc,VIC,3136,Large,Y,Y,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,,Y,
24385119368,Churches of Christ in Australia - Youth Vision Australia,VIC,3130,Small,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
24413439986,Indigo North Health Inc,VIC,3685,Large,Y,Y,,,,Y,,,,,,,Y,,,Y,Y,Y,,Y,,Y,Y,Y,,,Y,,,,,,,,,,,,,
24432771139,St. Catherine Of Siena Parish,VIC,3023,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24434146730,OROMO RESOURCE CENTRE INC,VIC,3029,Small,Y,Y,,,Y,,,,,,,Y,Y,,,,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,
24462209649,Footscray Historical Society Inc,VIC,3011,Small,Y,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,
24478747657,Music Theatre Workshop Incorporated,VIC,3934,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24482589476,THE TRUSTEE FOR THE ESTEEM FOUNDATION,VIC,3170,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,
24525180475,The Trustee For Albert Spratt Estate,VIC,3001,Small,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
24526782466,Whitley College The Baptist College Of Victoria,VIC,3052,Large,Y,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,Y,,,,,Y
24528936802,Baptist Church Wonthaggi,VIC,3995,Medium,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,Y,,,,,,,,,,,,,,Y
24534368073,Hamilton And District Pensioners Association Inc,VIC,3300,Small,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24542190524,Walkers Road Pre School Inc,VIC,3930,Medium,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
24542392743,Warrnambool Three Year Old Kindergarten Inc,VIC,3280,Small,Y,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,
24550946840,Merri Community Health Services Limited,VIC,3056,Large,Y,Y,,,,Y,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,Y,,,Y,,Y
24556361901,Working Horse And Tractor Rally committee Incorporated,VIC,3950,Small,Y,,,,,,,,,,,,,,,Y,Y,Y,,,,Y,Y,,,,Y,,,,,,,,Y,,,,,Y
24562852431,THE RETURNED AND SERVICES LEAGUE OF AUSTRALIA VICTORIAN BRANCH - DAYLESFORD WELFARE PATRIOTIC FUND,VIC,3000,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
24563091839,Portland Men's Shed Inc.,VIC,3305,Small,Y,,,,,,,,,,,,,,,,Y,,,,Y,,Y,Y,,Y,Y,,,,,Y,Y,,,Y,Y,,,
24568261206,Adass Israel Chevra Kadisha,VIC,3185,Small,Y,,,,,,,,,,,Y,,,,Y,,,,,Y,,,Y,,Y,,,,,,,,,,,,,,
24582122098,Uca - Moriac,VIC,3240,Small,Y,,,,,,,,,,,Y,,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,Y,,,,Y,
24582321968,Hope For Tomorrow Inc,VIC,3429,Small,Y,Y,,,,,,,,,,,,,,Y,,,,,Y,,,Y,,,,Y,,,Y,,Y,,,,,Y,,Y
24594181044,The Vestry Of St Stephens & Christ The King Anglican Churches,VIC,3685,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
24597298895,Wit Incorporated Inc,VIC,3011,Small,Y,,,Y,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,,,,,,Y
24603467024,Brotherhood Of St Laurence,VIC,3065,Large,Y,Y,,,,,,,,,,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,,,,,,,
24608967264,DonateDirect Ltd,VIC,3044,Small,,Y,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,
24619718059,Inner Melbourne African  Australian Partnership (Imaap),VIC,3051,,Y,Y,,,,,,,,,,,Y,,,,,,,,,Y,Y,Y,,Y,Y,Y,,,Y,Y,Y,,,Y,,Y,,Y
24620192136,Jesuit Education Australia Ltd,VIC,3122,Medium,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,Y
24622732145,Neighbourhood Watch Rutherglen Inc.,VIC,3685,Small,Y,,,,,,,,,,,,,Y,,Y,Y,Y,,Y,,Y,,,,,,,,,,Y,,,Y,,,,,Y
24624174992,Lifespaces Foundation Ltd,VIC,3227,Small,Y,Y,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,,,,,,Y,,,,,Y,,,,
24624981326,Cabrini Property Limited,VIC,3144,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24625260317,Mind Heart Connect Foundation Ltd,VIC,3144,Small,Y,,,,,Y,,,,,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,Y,,,,,Y,Y,,,,Y
24626649116,Water Sensitive Cities Institute Pty Ltd,VIC,3168,Large,Y,,,,,,,,,Y,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,
24629376672,The Centre For Excellence In Child And Family Welfare Inc.,VIC,3000,Large,Y,Y,,,,,,,,,,,Y,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,Y
24630631945,Creating Futures Children's Programs Inc.,VIC,3756,Small,Y,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,
24632156397,Council of Women's Empowerment Inc.,VIC,3183,Small,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
24633569464,Melbourne Christian Assembly Inc,VIC,3152,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,,Y,Y,,,,Y,,,,,,,,,,,,,,
24638942060,000FOUNDATION LIMITED,VIC,3181,,Y,Y,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
24639784535,GROWING FAITH CHURCH MELBOURNE LTD,VIC,3130,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24640153015,St Matthew's Lutheran Church,VIC,3011,Small,Y,,,,,,,,,,,Y,,,,Y,,,,,,,,Y,,,,,,,Y,,Y,,,Y,,,,
24641175116,THE TRUSTEE FOR THE PETSTOCK FOUNDATION,VIC,3350,Medium,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,,
24655626990,Sri Sukhmani Sahib Sewak Sabha,VIC,3024,Small,Y,,,Y,,,,,,,,Y,,,,,,,,,Y,Y,,Y,,Y,,,,,,,,,,,,,,
24669862924,Moehope Christian Church,VIC,3825,Small,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,
24679319776,Wingate Avenue Children's Cooperative,VIC,3032,Large,Y,,,,Y,,,,,,,,Y,,,,,,,Y,,Y,,Y,,,,Y,,,Y,,,,,,,,,
24684029499,Centre for Eye Research Australia Foundation,VIC,3002,Large,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24693089021,Tintern Grammar,VIC,3135,Large,Y,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y
24699016115,River Of Life Conference Inc.,VIC,3178,Small,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,,,,Y,,,,Y,,,,,,,,,,
24705440192,Australian Community Transformation Services 3,VIC,3136,Small,Y,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
24707214286,Inner Eastern Local Learning Employment Network Inc,VIC,3182,Medium,Y,,,,Y,,,,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,Y
24708414749,Anglican Mens Society Bill Brady Welfare Organisation Inc,VIC,3133,Small,Y,Y,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,Y,,,,,Y,
24719196762,Berry Street Victoria Incorporated,VIC,3121,Large,,Y,,,,,,,,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,,,,Y,,Y
24721913934,Aphids Events Inc,VIC,3066,Medium,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24721965542,Oscars100 Inc.,VIC,3135,Small,Y,,,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
24729120553,Gratia Community Church Inc,VIC,3108,Small,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24740322955,Kaya's Mission Incorporated,VIC,3844,Small,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24750969061,Lakes Entrance Men's Shed Inc,VIC,3909,Small,Y,,,,,Y,,,,,,,,,,Y,Y,,,,,,Y,,,Y,Y,,,Y,,,,,Y,,,,,
24758948376,"SESTAA: Society for Empowerment, Service, Training and Awareness, Australia Inc",VIC,3105,Small,Y,Y,,,Y,Y,,,,,,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,Y,,,,,,,
24763108298,Eventide Lutheran Homes,VIC,3300,Large,Y,Y,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,Y,,,,,Y,Y,,,Y,,Y,,,
24765527579,Sunraysia Contempory Alevi Cultural Ce,VIC,3500,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24773831392,Rupanyup Public Cemetery Trust,VIC,3388,Small,Y,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
24774178428,The Henry George Foundation (Australia),VIC,3051,Medium,Y,,,,,,Y,Y,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24776744519,Ballarat Regional Multicultural Council Incorporated,VIC,3350,Medium,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,Y,,,,,
24780875843,Open Door Baptist Church of Melton Inc.,VIC,3337,Small,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
24781132273,St James Parish,VIC,3186,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24782961787,Zion Worship Centre Inc,VIC,3803,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
24787174420,Liz Lewis Zita Foundation,VIC,3550,Small,Y,,,,,Y,,,,,,,Y,,,Y,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y
24789071779,COHUNA LEITCHVILLE RSL SUB-BRANCH  PATRIOTIC FUND,VIC,3000,Small,Y,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,
24801404396,Red Hill Memorial Pre School & Infant Welfare Centre Inc,VIC,3937,Medium,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
24802110123,Catholic Parish Eltham,VIC,3095,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24803275680,The Port Campbell Surf Life Saving Club Incorporated,VIC,3269,Medium,Y,Y,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,
24812980382,Macedon Ranges Further Education Centre Inc,VIC,3437,Small,Y,,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,Y,,,,,,,Y,,,Y,,,,
24814784009,Chez Guy Small Animal Rescue,VIC,3356,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24820824929,The Trustee For Rotary Club Of Mount Eliza Community Trust Fund,VIC,3930,Small,Y,,,,,Y,,,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,
24827507101,MCCC CHINESE SCHOOL INC,VIC,3146,,Y,,,,Y,,,,,,,,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,,,,,,,,,Y
24829385690,Ruscare Ltd,VIC,3175,Large,Y,Y,,,,,,,,,,,,,,Y,Y,,,,Y,Y,,,,,,,,,,,Y,,,,,,,Y
24830510866,Brigidine Asylum Seekers and Refugee Trust,VIC,3206,Medium,Y,Y,,,,,,,Y,,,,,,,Y,,,,,,Y,Y,Y,,,Y,Y,,,Y,,,,,Y,,,,
24832638240,Melbourne Chinese Methodist Box Hill Church Inc,VIC,3127,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24837417995,Al-Anon Family Groups Victorian Southern Area Inc,VIC,3000,Small,Y,Y,,,,,,,,,,,Y,,Y,Y,Y,,,,Y,Y,Y,,Y,,Y,Y,,,,,,,Y,,,Y,,
24845302142,Noah's Bark Dog Rescue Inc.,VIC,3178,Small,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24856863239,The Trustee For Stawell Regional Health Foundation,VIC,3380,Small,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24865788348,Drysdale Community Church Incoporated,VIC,3222,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
24878708351,East Gippsland Cancer Support Group Inc,VIC,3875,Small,Y,Y,,,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,Y,Y,Y,,,Y
24880421954,St Anne's College,VIC,3631,Large,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y
24897692413,Magar Samaj Victoria Inc.,VIC,3194,Small,Y,,,Y,,,,,,,,,,,,Y,Y,Y,,,Y,Y,,,,,,Y,,,,,,,Y,,,,,Y
24898129866,Ovarian Cancer Research Foundation Inc.,VIC,3142,Large,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
24903877928,Safe Transport Australia Inc,VIC,3161,Small,Y,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,Y
24920925761,Uca - Harcourt,VIC,3453,Small,Y,,,,,,,,,,,Y,,,,,Y,,,Y,,,,Y,,Y,,Y,,,,,,,,,,,,
24939316336,St Kierans Primary School Moe,VIC,3825,Large,Y,,,,Y,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
24950047405,The Serp Hills Foundation,VIC,3004,Medium,Y,,,Y,Y,Y,,,,Y,,,Y,,Y,,,,,,,,Y,,,Y,,Y,,,Y,,,,Y,,,,,Y
24950589138,Global Women Connect,VIC,3156,,Y,,,,Y,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,
24996584503,Southern Christian Investments Trust,VIC,3192,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
24996972892,St Francis Xavier School,VIC,3128,Large,Y,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
25002231325,Haladhar Holdings Pty Ltd,VIC,3206,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25004298542,Brigidine Association,VIC,3144,Small,Y,,,,,,,,,,,Y,,,,,,,,,Y,,,,,Y,,Y,,Y,,,,,,,,,,
25004463334,National Heart Foundation Of Australia (Victorian Division),VIC,3008,Large,Y,,,,,,,,,,,,,,Y,Y,Y,,,,Y,,Y,,,Y,Y,,,,,,,,Y,,,,,
25005371344,The Christian Community College - Portland Ltd,VIC,3305,Large,Y,,,,Y,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,Y,,,,,Y
25005738349,Pammessinian Brotherhood 'Papaflessas' Limited,VIC,3071,Small,Y,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,Y,,Y,,,,,,,,,,,,Y
25005839934,The Bronowski Institute Of Behavioural Neuroscience Incorporated,VIC,3442,Small,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,Y,,,,,
25005964723,Geelong Hospice Care Association,VIC,3220,Medium,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
25010570011,Australian-Polish Benevolent Assn,VIC,3153,Large,Y,Y,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,
25010800682,St George's Anglican Church Malvern,VIC,3144,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25013960384,The Church Of God In Melbourne Inc,VIC,3103,Small,Y,,,,,,,,,Y,,,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,
25016253046,Uca - St Andrews Orbost,VIC,3888,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25023841736,Parenting Research Centre Inc,VIC,3002,Large,,,,,,Y,,,,Y,,,Y,,,,,,,Y,,Y,,,,Y,,,,,,Y,Y,,,,,,,
25027279338,ST KILDA LIFE SAVING CLUB INC,VIC,3182,Small,Y,,,,,,,,,,,,,Y,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,,Y
25037356386,Uca - St John's Essendon,VIC,3040,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25038142060,The Trustee For The Presbyterian Ladies' College Education Scholarship Fund,VIC,3125,Small,Y,,,,Y,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Y
25042610171,Murchison Rsl Sub-Branch,VIC,3610,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,Y,,,
25048017126,Port Albert Maritime Museum Inc,VIC,3971,Small,Y,,,Y,Y,,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,Y,,,,,,,,,Y,,,,,
25060265541,The Trustee For G F Matthews Estate,VIC,3000,Small,Y,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
25063680139,Jesuit Community Richmond,VIC,3121,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25085934425,The National Foundation For Children's Cancer,VIC,3053,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25105510898,Australian Federation Of Disability Organisations (Afdo) Ltd,VIC,3051,Large,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,
25109674768,Bill Hutchison Foundation Ltd,VIC,3045,Small,Y,,,,,,,,,,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Y
25116424461,Limbs 4 Life Incorporated,VIC,3149,Large,,Y,,,,,,,,,,,Y,,,Y,Y,Y,,Y,,Y,Y,Y,,,Y,,,,,Y,Y,,Y,Y,Y,,,Y
25120926829,Communication Rights Australia,VIC,3189,Small,Y,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,Y
25122646346,West Victory Church Incorporated,VIC,3024,Small,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,Y
25125623226,St Michaels Catholic Church - Heyfield,VIC,3860,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25126031536,Cystic Fibrosis Community Care Ltd,VIC,3163,Large,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,,
25126098398,Power to Change,VIC,3170,Large,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25126531204,Arabic Baptist Church,VIC,3072,Small,Y,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,,Y,Y,Y,,,Y,Y,,,,,,,,Y
25129873442,Lynx Charitable Foundation,VIC,3000,Large,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
25140211579,LARC Common Equity Rental Housing Co-operative Ltd,VIC,3136,Small,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
25141459903,The Redeemed Christian Church Of God Oceania Region Ltd,VIC,3175,Small,Y,,,,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,
25146474688,Australian Patients Association Limited,VIC,3000,Small,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,Y,Y,,,,,,,
25154329183,Opportunity To Do Limited,VIC,3757,Small,Y,,,,,,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y
25158226914,Surrender Australia,VIC,3032,Small,Y,,,,,,,,,,,Y,,,Y,,,,,,Y,,,,,Y,,,,,,,Y,,,,,,,
25165347688,Hope Worldwide (Australia) Aid Pty Ltd,VIC,3150,Small,Y,Y,,,,,,,,Y,Y,,Y,,,,Y,,Y,,,,,,,Y,,Y,,,,,,,,,,,Y,
25170042319,Australian Society for Kangaroos Inc.,VIC,3450,Small,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
