State,Postcode,No_Individuals,Total_Taxable_$,Total_Donation_$,Area
VIC,3000,24559,1464326212,22238345,Metro
VIC,3001,240,47123000,448199,Metro
VIC,3002,3709,687786435,10504914,Metro
VIC,3003,4520,277885391,843049,Metro
VIC,3004,8178,976363798,8405898,Metro
VIC,3006,13887,956190677,3830831,Metro
VIC,3008,10062,669936008,1668888,Metro
VIC,3010,54,5878276,9327,Metro
VIC,3011,14557,824977977,1976155,Metro
VIC,3012,16466,947361711,1899556,Metro
VIC,3013,9623,733045607,1833501,Metro
VIC,3015,11189,852535531,1717813,Metro
VIC,3016,10120,887402821,2630321,Metro
VIC,3018,8001,533119732,1021965,Metro
VIC,3019,4705,207298806,377164,Metro
VIC,3020,23863,1076365564,2368898,Metro
VIC,3021,26851,1133750778,2469521,Metro
VIC,3022,1972,96507382,190249,Metro
VIC,3023,34441,1846974309,3913820,Metro
VIC,3024,14339,762442629,1929167,Metro
VIC,3025,6341,376933746,728551,Metro
VIC,3026,543,34422834,39315,Metro
VIC,3027,5056,295297879,568527,Metro
VIC,3028,16906,895714389,1693888,Metro
VIC,3029,59381,2983769054,6720867,Metro
VIC,3030,63270,3665382383,7880282,Metro
VIC,3031,11724,803446155,2311934,Metro
VIC,3032,19428,1299121478,3516835,Metro
VIC,3033,8382,516549010,843057,Metro
VIC,3034,6596,390594197,865379,Metro
VIC,3036,3961,270551765,585265,Metro
VIC,3037,28861,1568610451,2864889,Metro
VIC,3038,17028,953908052,1682040,Metro
VIC,3039,9630,745165595,2226825,Metro
VIC,3040,17846,1401032124,3516440,Metro
VIC,3041,8177,589820316,1351450,Metro
VIC,3042,9844,606425176,1173283,Metro
VIC,3043,10178,546843949,1167311,Metro
VIC,3044,16728,1057530281,3527703,Metro
VIC,3046,20288,1049753373,1987634,Metro
VIC,3047,8665,338916932,994418,Metro
VIC,3048,7121,287009638,846861,Metro
VIC,3049,5663,313741428,586293,Metro
VIC,3051,8811,540399366,2116739,Metro
VIC,3052,3806,241373558,1642866,Metro
VIC,3053,8386,484461632,2988524,Metro
VIC,3054,6046,487699531,16912549,Metro
VIC,3055,9452,580341669,2189146,Metro
VIC,3056,17759,1120459566,3657902,Metro
VIC,3057,8816,565977755,3292969,Metro
VIC,3058,21729,1288871535,3231163,Metro
VIC,3059,10852,650809342,1335072,Metro
VIC,3060,7034,328966577,810637,Metro
VIC,3061,2293,99909078,196377,Metro
VIC,3062,126,10118047,53875,Metro
VIC,3063,373,21344630,56056,Metro
VIC,3064,44238,2165342351,5345772,Metro
VIC,3065,7070,566294013,3735478,Metro
VIC,3066,6031,422050952,1216243,Metro
VIC,3067,6411,459325631,1417763,Metro
VIC,3068,12829,1097171789,6968140,Metro
VIC,3070,16541,1229863734,4969678,Metro
VIC,3071,12007,773950005,3023317,Metro
VIC,3072,20432,1172013626,2568376,Metro
VIC,3073,28047,1424467590,2591807,Metro
VIC,3074,10296,462882487,814237,Metro
VIC,3075,11211,524599022,900631,Metro
VIC,3076,18112,891676592,1906292,Metro
VIC,3078,7582,600569467,2998427,Metro
VIC,3079,11272,1009178494,5647644,Metro
VIC,3081,7517,389252978,945481,Metro
VIC,3082,17721,913483025,1810285,Metro
VIC,3083,18297,918597648,1742106,Metro
VIC,3084,16607,1193496205,3563484,Metro
VIC,3085,8360,531773592,1622623,Metro
VIC,3086,69,5309270,21478,Metro
VIC,3087,5300,308177718,594192,Metro
VIC,3088,16976,1024914384,2537765,Metro
VIC,3089,7851,532681488,877546,Metro
VIC,3090,1688,155354898,222893,Metro
VIC,3091,1119,90483011,157160,Metro
VIC,3093,2496,213248101,737364,Metro
VIC,3094,5596,349073314,924103,Metro
VIC,3095,18544,1310055225,3575352,Metro
VIC,3096,1221,73475793,125543,Metro
VIC,3097,978,73934490,134826,Regional
VIC,3099,3098,191916920,352812,Regional
VIC,3101,16975,1772175594,14266298,Metro
VIC,3102,4360,362888801,4391383,Metro
VIC,3103,10521,906051794,4869210,Metro
VIC,3104,13541,1089162422,6713333,Metro
VIC,3105,6762,419736817,888185,Metro
VIC,3106,10856,825386772,2038075,Metro
VIC,3107,8145,490252872,1374398,Metro
VIC,3108,13995,799348462,2399760,Metro
VIC,3109,17771,983885730,2504089,Metro
VIC,3111,7878,560203682,2235575,Metro
VIC,3113,5567,423758962,1578329,Metro
VIC,3114,2554,231377668,941017,Metro
VIC,3115,2754,223956219,643164,Metro
VIC,3116,6780,396398716,742449,Metro
VIC,3121,22349,1827002331,7314856,Metro
VIC,3122,16695,1774186385,32669179,Metro
VIC,3123,9861,957584374,4772985,Metro
VIC,3124,15209,1428006219,24403614,Metro
VIC,3125,8560,463893133,1690581,Metro
VIC,3126,5591,715563612,8048476,Metro
VIC,3127,12766,1168494400,7219591,Metro
VIC,3128,12570,651097626,1873139,Metro
VIC,3129,10468,636794522,2123777,Metro
VIC,3130,19986,1269998832,7297336,Metro
VIC,3131,13546,760655083,2668053,Metro
VIC,3132,10448,644405062,3016878,Metro
VIC,3133,13923,791568601,2925194,Metro
VIC,3134,20874,1278316694,3419119,Metro
VIC,3135,11993,700049477,2380412,Metro
VIC,3136,27129,1536635324,3774782,Metro
VIC,3137,8361,454234726,936656,Metro
VIC,3138,13469,739017608,1573982,Metro
VIC,3139,8751,468830734,975656,Regional
VIC,3140,10403,583314278,1143392,Metro
VIC,3141,18844,2002311005,36630249,Metro
VIC,3142,10219,2011266386,116464665,Metro
VIC,3143,6901,736857700,5003333,Metro
VIC,3144,8066,1038256250,10436031,Metro
VIC,3145,14631,1375739369,6768599,Metro
VIC,3146,17050,1644176075,7102824,Metro
VIC,3147,9068,696111013,2560186,Metro
VIC,3148,5774,326940680,703964,Metro
VIC,3149,21875,1325477613,4643010,Metro
VIC,3150,38047,2222362268,7151449,Metro
VIC,3151,6267,318659026,1257748,Metro
VIC,3152,21450,1184434605,3818914,Metro
VIC,3153,12341,644578007,1353395,Metro
VIC,3154,2698,150968792,311352,Metro
VIC,3155,13550,700616481,1694533,Metro
VIC,3156,23589,1364885640,3283665,Metro
VIC,3158,4364,248638004,627619,Metro
VIC,3159,1609,96470061,225193,Metro
VIC,3160,5681,339639478,792650,Metro
VIC,3161,10955,1072581102,14264574,Metro
VIC,3162,12016,1004354070,6354753,Metro
VIC,3163,21065,1345778298,3338103,Metro
VIC,3164,84,6231283,7376,Metro
VIC,3165,16873,1095837743,2017930,Metro
VIC,3166,14527,867044183,1948321,Metro
VIC,3167,5714,317410592,607585,Metro
VIC,3168,10331,439531818,852742,Metro
VIC,3169,11415,534525848,959207,Metro
VIC,3170,11339,629433966,1581796,Metro
VIC,3171,11810,480985866,924339,Metro
VIC,3172,13251,656742769,1243485,Metro
VIC,3173,15970,842008065,1418163,Metro
VIC,3174,20905,890552655,1800182,Metro
VIC,3175,27920,1242392809,2734769,Metro
VIC,3177,5412,222015791,474541,Metro
VIC,3178,21681,1251150605,2780330,Metro
VIC,3179,3710,200140737,518491,Metro
VIC,3180,4589,241719940,541904,Metro
VIC,3181,14875,1195347830,3280381,Metro
VIC,3182,17848,1337950335,10665593,Metro
VIC,3183,12871,900205324,6160108,Metro
VIC,3184,11059,976681763,7509014,Metro
VIC,3185,8976,828402061,16799504,Metro
VIC,3186,16921,2326386938,15746740,Metro
VIC,3187,10286,1071746576,3355878,Metro
VIC,3188,11302,1107678039,3338091,Metro
VIC,3189,3969,243147795,850299,Metro
VIC,3190,7023,480866611,890682,Metro
VIC,3191,6856,662734810,9231375,Metro
VIC,3192,14321,908868276,6967889,Metro
VIC,3193,13483,1240760684,5542868,Metro
VIC,3194,8916,586457689,1258606,Metro
VIC,3195,22563,1545456897,3295298,Metro
VIC,3196,15569,958047577,1689450,Metro
VIC,3197,7416,491187110,853553,Metro
VIC,3198,9750,523624551,1034910,Metro
VIC,3199,31566,1713428263,3721854,Metro
VIC,3200,2387,101485316,198266,Metro
VIC,3201,12340,635296187,1163603,Metro
VIC,3202,1678,107795198,212144,Metro
VIC,3204,19883,1384030067,2925091,Metro
VIC,3205,8033,714889180,5013208,Metro
VIC,3206,7137,1018466348,23355749,Metro
VIC,3207,11629,1187710624,5403936,Metro
VIC,3211,783,51949452,62427,Regional
VIC,3212,9787,575662445,1099903,Regional
VIC,3213,1908,115347427,191161,Regional
VIC,3214,10125,439733037,823356,Regional
VIC,3215,11942,651593550,1572508,Regional
VIC,3216,34817,1918467195,4956953,Regional
VIC,3217,6373,369436065,684101,Regional
VIC,3218,8411,617318887,1466066,Regional
VIC,3219,10931,536036670,1265347,Regional
VIC,3220,11194,869233439,13945640,Regional
VIC,3221,1977,141237260,493054,Regional
VIC,3222,8975,478964853,951768,Regional
VIC,3223,4200,215439704,639972,Regional
VIC,3224,8302,425743522,951694,Regional
VIC,3225,2884,174135309,3692197,Regional
VIC,3226,9443,551015346,1311992,Regional
VIC,3227,3209,227049533,697845,Regional
VIC,3228,12606,824937805,1680307,Regional
VIC,3230,1742,92414751,517614,Regional
VIC,3231,860,49305284,199634,Regional
VIC,3232,781,48249726,130872,Regional
VIC,3233,1366,59361931,503643,Regional
VIC,3234,110,7457727,38849,Regional
VIC,3235,256,10938673,34417,Regional
VIC,3236,163,6642796,25844,Regional
VIC,3237,124,3601817,4588,Regional
VIC,3238,168,6573406,26419,Regional
VIC,3239,255,10492549,15535,Regional
VIC,3240,1321,78046042,157782,Regional
VIC,3241,1607,79888418,150047,Regional
VIC,3242,614,27360202,57118,Regional
VIC,3243,247,10934884,56542,Regional
VIC,3249,2223,96759229,228528,Regional
VIC,3250,7170,343222849,846006,Regional
VIC,3251,339,15439859,32914,Regional
VIC,3254,179,7410978,15991,Regional
VIC,3260,2739,121742031,235550,Regional
VIC,3264,1383,61989633,87766,Regional
VIC,3265,1506,67956282,84531,Regional
VIC,3266,1779,74833626,139606,Regional
VIC,3267,175,5563838,10830,Regional
VIC,3268,1720,71470538,96673,Regional
VIC,3269,460,24862285,23657,Regional
VIC,3270,156,8086844,15226,Regional
VIC,3271,133,4873939,7589,Regional
VIC,3272,804,34457202,70903,Regional
VIC,3273,91,4906686,9750,Regional
VIC,3274,157,7677305,5194,Regional
VIC,3275,272,13122311,16869,Regional
VIC,3276,297,13727448,15659,Regional
VIC,3277,1151,61512857,97726,Regional
VIC,3278,169,7683589,12738,Regional
VIC,3279,199,9701100,17078,Regional
VIC,3280,19411,972034877,1995314,Regional
VIC,3281,1093,56368052,74581,Regional
VIC,3282,1600,77232989,139657,Regional
VIC,3283,742,36985688,50175,Regional
VIC,3284,2095,106271675,298106,Regional
VIC,3285,719,36747252,87770,Regional
VIC,3286,350,16652296,15495,Regional
VIC,3287,269,11053142,11066,Regional
VIC,3289,463,21065456,54501,Regional
VIC,3292,108,4300717,16142,Regional
VIC,3293,197,8496308,12921,Regional
VIC,3294,605,26796540,79683,Regional
VIC,3300,5995,278721217,855358,Regional
VIC,3301,762,35007359,278532,Regional
VIC,3302,247,18281517,16605,Regional
VIC,3303,201,9751040,13907,Regional
VIC,3304,1495,68054974,85751,Regional
VIC,3305,7256,381217086,722527,Regional
VIC,3309,64,2332031,4022,Regional
VIC,3310,142,6455789,12534,Regional
VIC,3311,910,39499631,72550,Regional
VIC,3312,521,24226537,24772,Regional
VIC,3314,359,21669494,28395,Regional
VIC,3315,975,61784162,91330,Regional
VIC,3317,109,5521517,5663,Regional
VIC,3318,734,33085075,44944,Regional
VIC,3319,231,11102260,8411,Regional
VIC,3321,1040,59451840,90607,Regional
VIC,3322,104,4914104,6356,Regional
VIC,3323,76,4085213,1002,Regional
VIC,3324,315,15026249,16045,Regional
VIC,3325,283,11344681,10477,Regional
VIC,3328,1097,59638526,165879,Regional
VIC,3329,159,6133023,19050,Regional
VIC,3330,136,6905780,10338,Regional
VIC,3331,3830,213375961,384145,Regional
VIC,3332,656,34704343,50592,Regional
VIC,3333,502,25972549,131784,Regional
VIC,3334,361,19082414,48791,Regional
VIC,3335,2829,150537115,307213,Metro
VIC,3336,3151,201880027,346528,Metro
VIC,3337,20425,1035534433,2135766,Metro
VIC,3338,13700,702362657,1601254,Metro
VIC,3340,12928,747353476,1422819,Regional
VIC,3341,1001,60286087,127761,Regional
VIC,3342,2049,145130818,254127,Regional
VIC,3345,773,45405782,106420,Regional
VIC,3350,35288,1981251634,6831025,Regional
VIC,3351,4786,236887081,596396,Regional
VIC,3352,9784,542837788,1162592,Regional
VIC,3353,226,11731174,45809,Regional
VIC,3354,215,13604667,21429,Regional
VIC,3355,6134,285543895,599661,Regional
VIC,3356,7781,341526052,560478,Regional
VIC,3357,2330,139437771,328424,Regional
VIC,3358,730,37424734,54140,Regional
VIC,3360,391,17920396,41487,Regional
VIC,3361,341,15374324,14827,Regional
VIC,3363,1849,91954306,158723,Regional
VIC,3364,1194,57167158,184046,Regional
VIC,3370,887,37635471,58523,Regional
VIC,3371,487,19870330,36718,Regional
VIC,3373,1222,53297225,93909,Regional
VIC,3374,192,9022441,12298,Regional
VIC,3375,131,5525041,7015,Regional
VIC,3377,4979,232940330,552044,Regional
VIC,3378,107,4892845,6380,Regional
VIC,3379,391,18739661,34936,Regional
VIC,3380,3492,155925116,292629,Regional
VIC,3381,717,30950966,91192,Regional
VIC,3384,316,11982681,8655,Regional
VIC,3385,283,11570761,33828,Regional
